iter	Passed	Remaining
1282	123421	165170
1283	123515	165072
1284	123606	164969
1285	123693	164860
1286	123789	164764
1287	123878	164658
1288	123972	164558
1289	124064	164457
1290	124157	164357
1291	124245	164249
1292	124338	164149
1293	124430	164048
1294	124522	163947
1295	124618	163850
1296	124702	163738
1297	124795	163638
1298	124891	163541
1299	124981	163437
1300	125077	163340
1301	125169	163239
1302	125261	163138
1303	125354	163037
1304	125446	162935
1305	125538	162834
1306	125628	162730
1307	125721	162630
1308	125809	162523
1309	125902	162423
1310	126000	162330
1311	126097	162234
1312	126190	162134
1313	126295	162050
1314	126646	162281
1315	126804	162263
1316	126905	162173
1317	127014	162093
1318	127116	162003
1319	127226	161925
1320	127331	161839
1321	127445	161765
1322	127546	161674
1323	127656	161595
1324	127760	161509
1325	127881	161443
1326	127990	161362
1327	128093	161274
1328	128203	161195
1329	128313	161116
1330	128425	161037
1331	128527	160949
1332	128647	160882
1333	128756	160800
1334	128858	160710
1335	128971	160634
1336	129074	160546
1337	129181	160463
1338	129279	160368
1339	129394	160295
1340	129498	160207
1341	129606	160125
1342	129720	160049
1343	129835	159976
1344	129942	159891
1345	130053	159813
1346	130172	159743
1347	130283	159665
1348	130373	159560
1349	130478	159473
1350	130577	159380
1351	130671	159279
1352	130809	159233
1353	130901	159131
1354	130998	159035
1355	131102	158947
1356	131203	158856
1357	131313	158775
1358	131408	158676
1359	131507	158582
1360	131603	158484
1361	131697	158384
1362	131795	158290
1363	131894	158195
1364	131988	158096
1365	132082	157995
1366	132172	157891
1367	132272	157798
1368	132374	157708
1369	132468	157609
1370	132561	157507
1371	132658	157410
1372	132752	157311
1373	132899	157274
1374	133159	157369
1375	133247	157263
1376	133342	157163
1377	133435	157062
1378	133570	157010
1379	133663	156908
1380	133752	156802
1381	133862	156721
1382	134179	156882
1383	134269	156776
1384	134368	156682
1385	134479	156601
1386	134633	156571
1387	134749	156495
1388	134858	156412
1389	134950	156309
1390	135044	156208
1391	135146	156117
